,BUILDINGID,wathtot,time
377,0117,3803000.0,2021-11-20T15:00:01.892087Z
378,0118,2243000.0,2021-11-20T15:00:01.892087Z
379,0121,1343000.0,2021-11-20T15:00:01.892087Z
380,0123,1160000.0,2021-11-20T15:00:01.892087Z
381,0124,3681000.0,2021-11-20T15:00:01.892087Z
382,0128,636000.0,2021-11-20T15:00:01.892087Z
383,0130,121000.0,2021-11-20T15:00:01.892087Z
384,0151,762.0,2021-11-20T15:00:01.892087Z
385,016a,1010000.0,2021-11-20T15:00:01.892087Z
386,0194,374000.0,2021-11-20T15:00:01.892087Z
387,0201,4001000.0,2021-11-20T15:00:01.892087Z
388,0202,4623000.0,2021-11-20T15:00:01.892087Z
389,026a,412000.0,2021-11-20T15:00:01.892087Z
390,109a,349000.0,2021-11-20T15:00:01.892087Z
391,109b,327000.0,2021-11-20T15:00:01.892087Z
392,109c,476000.0,2021-11-20T15:00:01.892087Z
393,109d,162000.0,2021-11-20T15:00:01.892087Z
394,0002,352000.0,2021-11-19T15:00:01.399528Z
395,0005,4983000.0,2021-11-19T15:00:01.399528Z
396,0006,5311000.0,2021-11-19T15:00:01.399528Z
397,0007,4410000.0,2021-11-19T15:00:01.399528Z
398,0008,3959000.0,2021-11-19T15:00:01.399528Z
399,0009,1973000.0,2021-11-19T15:00:01.399528Z
400,0010,1685095.0,2021-11-19T15:00:01.399528Z
401,0012,828000.0,2021-11-19T15:00:01.399528Z
402,0013,598000.0,2021-11-19T15:00:01.399528Z
403,0014,333000.0,2021-11-19T15:00:01.399528Z
404,0015,48000.0,2021-11-19T15:00:01.399528Z
405,0016,2602000.0,2021-11-19T15:00:01.399528Z
406,0017,2002.0,2021-11-19T15:00:01.399528Z
407,0018,189000.0,2021-11-19T15:00:01.399528Z
408,0019,5629000.0,2021-11-19T15:00:01.399528Z
409,0027,951000.0,2021-11-19T15:00:01.399528Z
410,0029,4848000.0,2021-11-19T15:00:01.399528Z
411,0030,3028000.0,2021-11-19T15:00:01.399528Z
412,0031,1775000.0,2021-11-19T15:00:01.399528Z
413,0032,174000.0,2021-11-19T15:00:01.399528Z
414,0033,754000.0,2021-11-19T15:00:01.399528Z
415,0034,967000.0,2021-11-19T15:00:01.399528Z
416,0035,665000.0,2021-11-19T15:00:01.399528Z
417,0036,544000.0,2021-11-19T15:00:01.399528Z
418,0037,5256000.0,2021-11-19T15:00:01.399528Z
419,0038,2026000.0,2021-11-19T15:00:01.399528Z
420,0039,2059000.0,2021-11-19T15:00:01.399528Z
421,0040,257001.0,2021-11-19T15:00:01.399528Z
422,0041,33.0,2021-11-19T15:00:01.399528Z
423,0042,73000.0,2021-11-19T15:00:01.399528Z
424,0047,938000.0,2021-11-19T15:00:01.399528Z
425,0048,266000.0,2021-11-19T15:00:01.399528Z
426,0049,4447000.0,2021-11-19T15:00:01.399528Z
427,0051,1581000.0,2021-11-19T15:00:01.399528Z
428,0058,1228000.0,2021-11-19T15:00:01.399528Z
429,0063,4145000.0,2021-11-19T15:00:01.399528Z
430,0064,506000.0,2021-11-19T15:00:01.399528Z
431,0065,1044000.0,2021-11-19T15:00:01.399528Z
